Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
jandy color led pool light,69,69,140,27,0.88,https://thewaterhobby.com/pentair-jandy-pool-lights-not-changing-color/,0,0,0.00,1,77,"[66,66,52,52,42,52,42,52,52,80,80,66]",2023-08-14,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches","navigational, transactional",Organic
polaris 280 vs 360,51,51,170,1,2.04,https://thewaterhobby.com/polaris-tail-not-moving-sweeping-model-3900-280-360-380/,0,0,0.00,1,78,"[43,43,34,28,34,28,34,34,65,81,100,81]",2023-08-12,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Related searches",commercial,Organic
npt stonescapes,53,53,140,28,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.07,63,"[66,66,52,52,52,42,52,52,66,66,80,80]",2023-08-12,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Related searches",navigational,Organic
increasing calcium hardness in pool,50,50,40,35,0.77,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,1440000,"[10,2,5,43,28,0,10,0,0,0,2,12]",2023-07-28,"Reviews, Featured snippet, People also ask, FAQ, Indented, Related searches",informational,Organic
pentair chlorinator salt level,65,65,20,20,1.43,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.98,85,"[7,7,7,7,7,7,7,7,7,15,15,7]",2023-08-12,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
polaris 360 troubleshooting,38,38,110,26,0.55,https://thewaterhobby.com/polaris-tail-not-moving-sweeping-model-3900-280-360-380/,0,0,0.00,0.08,91,"[66,35,23,17,17,12,12,17,23,28,43,35]",2023-08-12,"Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
polaris 360 troubleshooting,39,39,110,26,0.55,https://thewaterhobby.com/polaris-380-wheels-not-turning/,0,0,0.00,0.08,91,"[66,35,23,17,17,12,12,17,23,28,43,35]",2023-08-12,"Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
stonescapes tahoe blue,31,31,210,17,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.03,49,"[44,35,28,23,23,23,23,35,44,35,35,35]",2023-08-08,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
mini pebble tec colors,24,24,50,30,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-tec/,0,0,0.00,0.82,70,"[50,14,64,78,35,21,35,78,28,28,28,35]",2023-07-27,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
salt cell reviews,75,75,20,28,1.65,https://thewaterhobby.com/platinum-edition-salt-cell-review/,0,0,0.00,0.91,82200000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-07-21,"Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
pentair pool light switch,81,81,40,7,0.52,https://thewaterhobby.com/pentair-jandy-pool-lights-not-changing-color/,0,0,0.00,1,764000,"[23,14,14,14,9,9,9,9,9,14,33,52]",2023-08-07,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
hayward pool heater warranty,73,73,110,13,0.97,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.83,100,"[42,53,53,26,19,26,19,34,42,53,100,80]",2023-08-13,"Sitelinks, Video, Image, People also ask, Indented, Related searches",informational,Organic
pebble tec aqua blue,49,49,70,15,0.77,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.61,74,"[33,0,100,0,14,4,9,19,23,66,80,19]",2023-08-06,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
difference between polaris 280 and 360,60,60,30,0,2.43,https://thewaterhobby.com/polaris-tail-not-moving-sweeping-model-3900-280-360-380/,0,0,0.00,0.98,80,"[80,60,60,40,40,40,40,40,40,60,100,80]",2023-08-10,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",commercial,Organic
how to level intex pool with water in it,93,93,40,15,0.00,https://thewaterhobby.com/intex-pool-legs-not-straight/,0,0,0.00,0.08,3280000,"[78,78,14,14,14,14,14,14,14,14,14,78]",2023-08-02,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
mini pebble plaster,55,55,70,22,1.17,https://thewaterhobby.com/mini-pebble-vs-pebble-tec/,0,0,0.00,0.82,81,"[18,8,8,5,3,5,8,8,18,18,8,23]",2023-08-04,"Image pack, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
hayward ozone system,95,95,20,4,2.30,https://thewaterhobby.com/hayward-hydra-pure-review/,0,0,0.00,1,753000,"[50,50,50,50,50,50,50,50,50,50,100,75]",2023-08-09,"Reviews, Image, Ads bottom, Indented, Popular products, Related searches",commercial,Organic
pentair vs hayward pumps,85,85,30,6,0.82,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,1,618000,"[0,9,9,9,9,9,9,9,9,9,52,33]",2023-08-11,"Sitelinks, Reviews, Image, Shopping ads, Video Carousel, People also ask, Related searches",commercial,Organic
pebble tec caribbean blue,58,58,40,6,0.38,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.63,65,"[33,33,14,14,9,0,4,23,23,33,33,9]",2023-08-07,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
mini pebble,75,75,70,10,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,1,28300000,"[78,50,64,50,50,35,35,50,50,64,64,64]",2023-07-30,"Image pack, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
tahoe blue plaster pool,61,61,40,0,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.37,78,"[14,19,23,14,14,0,0,0,0,9,23,100]",2023-07-24,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
hayward uv sanitizer,82,82,30,11,0.87,https://thewaterhobby.com/hayward-hydra-pure-review/,0,0,0.00,1,87,"[28,28,28,28,28,28,28,28,28,28,57,100]",2023-08-09,"Reviews, Video, Image, Related searches","informational, transactional",Organic
k 2006,95,95,110,39,0.49,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,2800000000,"[100,80,66,33,23,23,19,33,23,52,52,80]",2023-07-30,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","informational, transactional",Organic
pebble sheen blue surf,38,38,260,3,0.63,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.58,45,"[44,44,28,100,100,28,15,35,35,54,66,35]",2023-07-25,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
aqua white mini pebble,13,13,260,4,0.00,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.33,81,"[54,54,44,28,44,23,28,23,35,44,66,54]",2023-07-28,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
hayward hydrapure,40,40,140,3,1.83,https://thewaterhobby.com/hayward-hydra-pure-review/,0,0,0.00,1,49,"[19,23,12,15,9,6,15,19,29,23,29,29]",2023-08-14,"Reviews, Image, Ads bottom, Shopping ads, Video Carousel, Indented, Related searches",informational,Organic
sundance hot tub reviews,83,83,90,12,2.15,https://thewaterhobby.com/hot-springs-vs-sundance/,0,0,0.00,0.56,1030000,"[52,52,42,33,33,33,33,33,52,52,52,52]",2023-08-12,"Image pack, Sitelinks, Reviews, Video, People also ask, FAQ, Related searches",commercial,Organic
pentair phone app,76,76,30,31,0.57,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.42,82,"[45,27,36,18,18,18,18,27,27,27,27,18]",2023-07-31,"Carousel, Image pack, Reviews, People also ask, Indented, Related searches",transactional,Organic
endless pools reviews,27,27,140,35,2.22,https://thewaterhobby.com/endless-pool-complaints/,0,0,0.00,0.38,9470000,"[53,100,28,28,28,17,17,23,23,28,35,35]",2023-08-06,"Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
what does mustard algae look like,30,30,260,31,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,0,0,0.00,0,4260000,"[81,44,15,3,3,2,2,2,5,15,67,81]",2023-08-12,"Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
generic t cell 5 replacement,57,57,20,0,1.15,https://thewaterhobby.com/generic-t-cell-15-replacements-review/,0,0,0.00,1,95,"[18,18,18,18,18,18,18,0,18,18,18,18]",2023-07-19,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches",commercial,Organic
generic t-cell 9 replacement,83,83,20,0,2.56,https://thewaterhobby.com/generic-t-cell-15-replacements-review/,0,0,0.00,1,95,"[7,7,7,7,7,7,0,7,7,7,7,7]",2023-07-21,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
k 2006 salt,41,41,40,0,0.45,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,95,"[100,18,18,18,18,18,18,18,18,18,100,100]",2023-08-06,"Image pack, Image, People also ask, Indented, Related searches","informational, transactional",Organic
pentair pool light not changing colors,21,21,30,0,0.00,https://thewaterhobby.com/pentair-jandy-pool-lights-not-changing-color/,0,0,0.00,0.38,95,"[10,10,6,4,4,4,4,4,4,4,4,4]",2023-07-25,"Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
hot tub only heats to 84 degrees,20,20,40,6,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.02,5810000,"[6,9,6,12,9,15,21,21,12,9,6,6]",2023-08-01,"Image pack, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
hot tub not heating,88,88,210,23,1.10,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.31,40400000,"[28,28,23,35,44,44,35,35,35,35,44,44]",2023-07-23,"Image pack, Sitelinks, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
tahoe blue pool,39,39,170,3,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.01,96,"[66,53,43,35,28,35,28,35,35,35,53,53]",2023-08-01,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic color light control,60,60,30,13,0.00,https://thewaterhobby.com/pentair-jandy-pool-lights-not-changing-color/,0,0,0.00,0.55,66,"[77,55,22,33,22,33,22,22,22,22,33,22]",2023-08-04,"Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
pool light won't turn on,89,89,30,19,1.51,https://thewaterhobby.com/pentair-jandy-pool-lights-not-changing-color/,0,0,0.00,0.11,122000000,"[100,40,40,40,40,40,40,40,40,40,80,60]",2023-08-09,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
hayward t15 salt cell replacement,56,56,110,13,3.89,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,69,"[66,66,35,22,10,6,4,4,4,8,22,43]",2023-07-29,"Image pack, Reviews, Video, Image, Indented, Popular products, Related searches",commercial,Organic
pleatco cartridges,39,39,20,40,0.90,https://thewaterhobby.com/pleatco-vs-unicel/,0,0,0.00,0.99,37,"[66,66,66,66,66,66,66,66,66,66,66,100]",2023-08-02,"Image pack, Sitelinks, Video, Image, People also ask, Indented, Popular products, Related searches",navigational,Organic
intex pool leveling,96,96,70,40,2.20,https://thewaterhobby.com/intex-pool-legs-not-straight/,0,0,0.00,0.94,5010000,"[100,43,12,5,5,5,5,5,5,7,23,12]",2023-08-02,"Sitelinks, Reviews, Featured snippet, Image, People also ask, Related searches",informational,Organic
best epoxy grout for swimming pool tiles,89,89,50,15,0.72,https://thewaterhobby.com/best-grout-for-pools/,0,0,0.00,1,703000,"[45,36,18,27,18,18,27,18,36,45,100,100]",2023-08-06,"Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
pebble sheen cool blue,93,93,170,3,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.84,98,"[65,65,53,43,43,43,28,43,43,53,43,65]",2023-07-21,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
aqua white pool finish,18,18,30,0,0.00,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.1,9200000,"[22,44,33,33,22,22,33,33,33,33,44,33]",2023-08-09,"Image pack, Reviews, Image, People also ask, Related searches",informational,Organic
sutro smart water monitor,75,75,20,31,1.17,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,85,"[66,66,66,66,66,66,0,0,66,66,66,66]",2023-08-08,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
sutro smart water monitor,76,76,20,31,1.17,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,1,85,"[66,66,66,66,66,66,0,0,66,66,66,66]",2023-08-08,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
above ground pool legs,71,71,30,14,0.45,https://thewaterhobby.com/intex-pool-legs-not-straight/,0,0,0.00,1,27800000,"[100,18,18,18,18,18,18,18,18,18,18,100]",2023-07-31,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
hayward goldline t cell 15,86,86,20,13,5.07,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,89,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-07-23,"Knowledge panel, Image pack, Reviews, Image, Ads bottom, Shopping ads, People also ask, Indented, Related searches","informational, transactional",Organic
pentair screenlogic connect app,48,48,50,27,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.03,61,"[63,18,18,36,36,45,36,27,45,45,100,63]",2023-08-05,"Knowledge panel, Reviews, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
pentair intellibrite 5g led pool light reviews,48,48,30,9,0.88,https://thewaterhobby.com/pentair-intellibrite-5g-problems/,0,0,0.00,1,51,"[28,100,64,50,28,21,0,14,0,0,0,0]",2023-07-26,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related products, Related searches",commercial,Organic
intellichlor low salt light,40,40,20,9,0.94,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.52,47,"[50,50,50,50,50,50,50,50,50,50,50,50]",2023-08-09,"Sitelinks, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
sutro hot tub monitor,44,44,40,25,3.58,https://thewaterhobby.com/best-hot-tub-water-monitoring-system/,0,0,0.00,1,47,"[44,100,77,22,22,77,22,44,77,22,44,22]",2023-07-28,"Sitelinks, Reviews, Image, People also ask, Popular products, Related searches",transactional,Organic
tropics blue,30,30,30,3,0.00,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,0.68,47700000,"[80,40,60,40,20,40,20,100,60,60,40,80]",2023-08-05,"Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches",informational,Organic
dirt or algae on bottom of pool,49,49,40,33,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,0,0,0.00,0.03,11200000,"[100,100,63,18,18,18,18,18,18,18,18,45]",2023-07-22,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
hayward salt cell replacement t15,71,71,50,9,2.64,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,76,"[45,36,18,18,18,18,18,18,27,63,100,100]",2023-08-08,"Image pack, Reviews, Video, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches",commercial,Organic
best generic t15 salt cell,15,15,20,4,3.08,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,39,"[66,66,66,66,0,0,66,66,66,66,66,66]",2023-07-19,"Image pack, Sitelinks, Reviews, Video, Image, Shopping ads, People also ask, Popular products, Related searches","commercial, informational",Organic
aqua genie skimmer basket,82,82,40,0,0.55,https://thewaterhobby.com/aqua-genie-skimmer-problems/,0,0,0.00,1,86,"[19,11,7,7,7,7,7,7,7,7,53,42]",2023-08-06,"Reviews, Image, Ads bottom, Shopping ads, Indented, Popular products, Related searches","informational, transactional",Organic
pentair salt chlorine generator troubleshooting,24,24,20,17,1.53,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.56,40,"[50,50,50,50,50,50,50,50,50,50,50,100]",2023-08-10,"Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair chlorinator troubleshooting,20,24,30,15,0.81,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.61,60,"[26,19,7,7,7,7,7,7,7,19,15,7]",2023-08-15,"Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
midnight blue pool plaster,84,84,110,2,1.16,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,0.6,100,"[66,52,66,52,33,42,42,52,52,66,80,66]",2023-08-11,"Image pack, Reviews, Video, Image, Indented, Popular products, Related searches",informational,Organic
pentair intellichlor ic40 troubleshooting,15,15,90,2,1.70,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,1,53,"[65,21,15,12,6,6,6,6,15,28,65,53]",2023-08-03,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Related searches",informational,Organic
return on a pool,12,12,50,18,0.60,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,1,637000000,"[81,0,0,0,0,0,0,0,0,0,0,0]",2023-07-18,"Image pack, Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pebble sheen blue surf vs blue granite,36,36,30,2,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.03,47,"[41,29,29,11,11,11,11,11,11,11,11,11]",2023-08-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
mighty sun above ground pools,90,90,20,0,1.51,https://thewaterhobby.com/aqua-leader-pool-reviews/,0,0,0.00,1,4630000,"[50,50,50,50,50,0,50,50,50,50,50,50]",2023-08-02,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
pentair globrite led light,73,73,40,20,0.59,https://thewaterhobby.com/pentair-globrite-problems-top-10-issues-and-complaints/,0,0,0.00,1,85,"[15,19,5,2,4,2,2,2,2,2,2,2]",2023-07-28,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Related products, Related searches",transactional,Organic
hot tub bromine floater,99,99,90,7,0.54,https://thewaterhobby.com/bromine-tablets-not-dissolving/,0,0,0.00,1,64700,"[64,11,11,64,64,64,64,52,41,52,64,64]",2023-07-21,"Image pack, Reviews, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
how often to add water to pool,80,80,40,18,0.00,https://thewaterhobby.com/how-often-do-you-add-water-to-your-pool/,0,0,0.00,0,183000000,"[100,100,18,18,18,18,18,18,18,18,18,100]",2023-08-02,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
how to adjust polaris pool cleaner,67,67,70,21,0.46,https://thewaterhobby.com/polaris-tail-not-moving-sweeping-model-3900-280-360-380/,0,0,0.00,0.05,78,"[78,78,78,35,35,28,28,50,35,50,78,100]",2023-08-02,"Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
hayward t15 replacement cell,64,64,140,13,3.86,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,67,"[100,15,12,7,4,3,0,0,3,4,10,19]",2023-07-26,"Image pack, Reviews, Video, Image, Ads top, Shopping ads, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
intellichlor ic40 reset button,45,45,260,13,1.01,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.88,82,"[81,66,44,29,23,6,9,6,9,15,29,81]",2023-07-29,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
how strong should pool jets be,29,29,30,22,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0.04,17400000,"[100,40,80,40,40,40,40,40,40,40,40,40]",2023-07-27,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
stone scapes,100,100,390,23,2.69,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.07,2300000,"[54,54,36,29,19,15,29,29,67,67,44,44]",2023-08-07,"Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",commercial,Organic
hydrogen peroxide in hot tub,43,43,40,8,0.68,https://thewaterhobby.com/hydrogen-peroxide-to-lower-chlorine-in-hot-tub/,0,0,0.00,1,3700000,"[100,27,27,27,36,36,27,36,27,27,36,45]",2023-07-28,"Image pack, Reviews, People also ask, Indented, Related searches",informational,Organic
best way to chlorinate pool,95,95,40,37,0.40,https://thewaterhobby.com/cheapest-way-to-chlorinate-a-pool/,0,0,0.00,1,22400000,"[78,78,14,14,14,14,14,14,14,14,14,100]",2023-07-26,"Image pack, Sitelinks, Reviews, Featured snippet, Ads bottom, Shopping ads, Video Carousel, People also ask, FAQ, Related searches","commercial, informational",Organic
how to aim pool jets,59,59,30,12,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0.02,4950000,"[15,12,6,6,6,6,6,6,6,6,6,15]",2023-08-01,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
saltpoolstore reviews,35,35,110,25,1.97,https://thewaterhobby.com/platinum-edition-salt-cell-review/,0,0,0.00,0.53,43,"[100,65,53,26,19,15,11,19,26,26,42,80]",2023-07-27,"Knowledge panel, Reviews, People also ask, Indented, Related searches",commercial,Organic
in ground spa jet placement,4,4,30,6,0.00,https://thewaterhobby.com/in-ground-spa-jet-placement/,0,0,0.00,0.1,43800000,"[34,12,6,6,6,6,6,6,6,6,6,6]",2023-07-14,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
blue granite pebble tec,64,64,50,8,0.62,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.67,74,"[64,64,82,29,41,0,41,0,0,17,11,17]",2023-07-22,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
what temperature does a salt cell stop working,95,95,70,12,0.00,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.02,23600000,"[50,50,35,64,64,64,35,35,64,78,50,28]",2023-08-11,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
hayward warranty claim,88,88,170,25,0.90,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.02,879000,"[53,53,53,34,34,28,43,34,53,81,100,65]",2023-08-14,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Indented, Related searches","informational, transactional",Organic
how to increase water hardness in pool,68,68,70,34,0.77,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,3010000,"[82,29,23,23,17,11,11,17,23,29,82,100]",2023-08-10,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
how long does pebble tec last,99,99,110,14,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-tec/,0,0,0.00,0.01,9790000,"[65,53,42,34,34,26,19,34,34,34,42,53]",2023-07-26,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
taylor k 2005 vs k 2006,19,19,50,5,0.62,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,0.95,62,"[64,64,11,11,11,11,11,11,11,11,64,64]",2023-07-20,"Image pack, Sitelinks, Reviews, Featured snippet, Image, Ads bottom, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pool algae that looks like sand,5,5,30,28,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,0,0,0.00,0.01,22700000,"[45,45,27,18,18,18,0,18,18,18,18,18]",2023-07-20,"Sitelinks, Reviews, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
taylor technologies k 2006,67,67,20,23,1.40,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,122000000,"[22,22,22,22,22,22,22,22,22,22,22,22]",2023-07-22,"Knowledge panel, Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
intellichlor ic40 troubleshooting,15,15,30,0,2.02,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.97,86,"[100,57,28,28,28,28,28,28,28,28,71,57]",2023-08-06,"Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
bullfrog vs jacuzzi,73,73,40,0,2.01,https://thewaterhobby.com/bullfrog-vs-hot-springs/,0,0,0.00,0.19,99,"[52,52,29,41,23,17,17,17,17,11,5,17]",2023-08-10,"Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
stonescapes micro pebble,38,38,40,15,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.33,53,"[15,15,12,9,12,9,9,9,9,15,12,15]",2023-08-04,"Sitelinks, Image, Indented, Related searches",navigational,Organic
hayward t cell15,94,94,110,16,3.73,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,100,"[43,2,6,4,0,0,0,2,18,18,66,100]",2023-08-14,"Knowledge panel, Reviews, Video, Image, Ads bottom, Shopping ads, People also ask, Indented, Related searches","informational, transactional",Organic
pentair intellichlor not producing chlorine,18,18,20,15,1.90,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.28,44,"[100,66,66,66,66,66,0,66,66,66,66,66]",2023-08-09,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
best thing to put under pool legs,58,58,110,12,0.40,https://thewaterhobby.com/intex-pool-legs-not-straight/,0,0,0.00,1,82300000,"[43,14,4,4,4,4,4,4,14,29,81,81]",2023-08-09,"Image pack, Sitelinks, Reviews, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
sutro smart monitor,73,73,70,20,0.77,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,1,83,"[100,64,64,52,29,29,11,11,41,64,29,11]",2023-07-30,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads top, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sutro smart monitor,74,74,70,20,0.77,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,83,"[100,64,64,52,29,29,11,11,41,64,29,11]",2023-07-30,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads top, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
generic t15 salt cell,33,33,20,6,3.16,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,53,"[40,40,40,40,40,40,40,40,40,40,40,40]",2023-07-19,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, Shopping ads, Popular products, Related searches",commercial,Organic
